animal_id,body_weight_g,blood_glucose_mmolL,litter_number,locomotor_activity,body_temp_C,grip_strength_g,corticosterone_ngmL,latency_s,open_arm_pct,plasma_insulin_ngmL,body_fat_pct,rotarod_latency_s
26,21.558,6.796,2.0,2093.5294,37.0204,168.2489,125.2646,65.2811,37.8668,0.641,15.921,74.9545
27,27.4072,7.3953,1.0,1323.1625,37.1409,164.4881,220.4138,37.5109,31.7822,1.0932,23.6486,97.84
28,29.2451,5.9713,4.0,1979.224,37.3722,128.3749,103.7589,68.3145,21.1643,0.4755,17.112,137.7912
29,28.8821,6.9259,2.0,2411.2036,37.5864,51.7316,138.7698,69.7482,39.849,0.6619,20.8972,96.4291
30,19.428,7.0179,2.0,2288.5365,36.9675,144.5345,117.9312,101.8653,39.3714,0.5731,14.9082,73.3059
31,26.0554,6.5241,1.0,1852.3571,36.8947,56.9768,144.454,48.2301,11.5494,0.6966,17.4222,85.2326
32,28.5543,7.2484,1.0,1666.0118,37.2969,175.038,259.885,46.7545,30.7224,1.2467,17.295,106.0255
33,19.1958,6.2757,1.0,1585.3278,37.3749,133.4232,115.1321,68.8414,15.7058,0.5911,23.5942,88.7946
34,24.9723,7.3079,1.0,2133.9099,36.9046,159.9896,182.433,69.7439,6.2176,0.872,23.2029,114.5591
35,25.9584,7.3415,3.0,1997.552,37.4557,99.1324,173.8706,45.3684,13.8011,0.8492,21.1073,115.6853
36,23.9473,4.5663,4.0,2214.702,37.5408,78.3198,215.4001,47.7431,21.4342,1.0536,14.5983,126.6695
37,18.5174,7.8522,4.0,1965.9369,37.6813,136.3441,155.6873,64.7404,5.4512,0.8153,18.7534,142.7068
38,23.8601,4.4619,2.0,2309.382,37.9002,126.9247,251.8302,40.1035,31.8283,1.1837,17.0155,129.8758
39,23.8544,6.4072,4.0,1947.2963,36.7101,112.2707,234.0844,47.6104,33.1779,1.1547,23.4787,71.9728
40,24.4817,7.7203,3.0,2292.3444,37.1063,130.7092,129.7688,56.6127,32.8975,0.6578,24.7127,72.894
41,23.0279,6.6462,1.0,2335.4114,37.1051,216.5579,140.8019,72.9269,13.1714,0.6569,24.2255,97.7269
42,23.4495,5.7271,1.0,1497.7367,37.0559,154.7048,130.3576,44.1172,21.9957,0.6646,16.9791,86.4647
43,24.861,6.025,3.0,995.928,36.8078,161.584,85.6515,21.8371,19.7717,0.3973,9.0419,65.8502
44,26.5486,7.7215,2.0,2671.7464,36.4315,155.006,141.7484,20.5012,27.6877,0.7181,12.9322,86.7492
45,23.9345,5.3628,1.0,2028.3294,37.1417,175.3428,202.0615,32.3306,15.7282,0.9392,25.6865,85.7646
46,23.5662,7.8032,4.0,1042.7571,36.7542,121.9177,150.8502,31.363,38.7644,0.7209,18.395,79.8446
47,25.3232,6.8559,3.0,1543.0903,37.1387,62.2476,121.038,52.217,39.2159,0.5708,16.9971,90.5263
48,18.2768,5.9461,3.0,2285.9371,36.7427,121.9652,226.2759,33.6002,27.2963,1.1411,26.5706,135.3535
49,26.6696,6.4335,4.0,1760.1616,36.6052,153.9755,123.2767,42.3504,36.4946,0.5994,25.0606,105.9771
50,24.998,6.0862,4.0,1643.9693,37.2054,96.9664,260.9227,41.0665,19.1769,1.2644,20.0978,174.1543
51,25.1389,7.593,4.0,2600.4409,37.1679,122.3563,108.3868,47.0709,29.844,0.5105,18.8264,105.1152
52,28.3626,7.4859,2.0,1376.3564,37.3607,105.8634,148.5731,78.8051,35.0459,0.7493,19.4716,91.298
53,18.1651,5.5247,4.0,1500.9233,38.0836,176.0649,157.4099,66.9151,34.4187,0.7666,20.9087,100.124
54,18.0916,6.5771,3.0,2005.6932,37.2248,151.9826,157.4731,55.2903,44.2108,0.7753,26.4002,107.6948
55,25.9583,6.2095,3.0,2095.2275,37.3183,148.8493,190.7225,46.7015,44.6225,0.9262,21.6899,113.0576
56,24.9751,7.9348,4.0,2148.1715,36.6151,147.8912,193.8481,47.2018,26.6782,0.958,22.9041,162.3013
57,25.5956,5.8199,1.0,2355.619,36.5209,126.808,168.9356,60.8994,14.4332,0.8168,24.6771,74.6404
58,23.3826,8.1834,2.0,1999.2893,37.8123,134.3218,95.5329,65.515,30.4239,0.4335,15.3213,125.7714
59,27.3252,6.8734,1.0,2144.692,36.6844,90.0741,121.8606,38.6629,39.9034,0.5922,23.0194,106.2325
60,28.2642,5.9705,2.0,1770.3954,36.6302,58.0339,236.5232,55.6567,14.6262,1.2143,18.8217,52.8671
61,26.6939,6.3582,2.0,1931.3492,37.0824,132.8026,126.6153,18.4308,30.0215,0.6027,9.9356,123.121
62,24.0871,6.2587,4.0,1953.7671,37.0594,138.3677,132.9806,58.8108,14.293,0.6789,11.4873,138.0287
63,17.6231,5.8803,4.0,2007.5491,36.6939,166.6965,213.3077,68.7187,34.4623,1.0553,15.9275,74.2847
64,27.6923,6.9759,2.0,2286.2699,36.9628,178.2827,188.6953,49.9588,15.5747,0.8929,22.1249,99.732
65,29.2761,5.9177,2.0,2177.5728,37.6532,178.24,162.3958,87.6975,15.8096,0.7801,20.4552,48.2394
66,27.256,5.1557,3.0,1922.1085,36.7373,96.0632,226.5579,39.1377,40.9817,1.105,20.7375,62.2358
67,21.9213,6.5963,4.0,1495.437,36.4728,116.7275,96.1821,58.9139,9.5698,0.4675,27.8038,131.4409
68,27.3583,5.4577,4.0,1933.8356,37.5242,143.3707,181.252,54.3552,15.8785,0.8716,14.9236,86.0075
69,28.0119,6.2983,1.0,1885.9911,37.3215,209.0209,112.3642,53.1946,21.4496,0.5301,19.8903,66.7359
70,30.4559,6.1727,1.0,1996.5908,36.8208,175.3632,184.4273,52.9422,6.3269,0.9364,21.2177,106.8838
71,21.9336,6.203,3.0,3003.2627,36.388,163.8207,120.5963,56.9279,38.6591,0.5807,17.0549,84.3276
72,24.2074,8.5008,2.0,1638.1136,36.7649,115.5908,244.4849,70.2633,31.6771,1.192,20.1133,85.8754
73,27.6155,6.9451,1.0,2111.1445,37.0754,99.7376,98.5406,79.7993,13.1464,0.4865,13.6002,122.1798
74,25.2009,7.0963,1.0,2434.231,37.6246,153.2451,203.3423,54.9595,32.1614,0.9362,25.6396,65.148
75,21.0894,5.4789,2.0,1949.001,36.6335,92.7788,312.4595,69.6757,14.1522,1.4722,17.2735,72.839
76,26.4512,6.3768,2.0,3068.9226,37.062,120.37,175.7193,42.3682,38.931,0.8606,28.1256,104.6224
77,27.0253,7.0722,3.0,1710.9804,37.4038,124.3271,88.9569,68.7872,8.6778,0.4212,19.8701,129.0823
78,25.3079,6.0804,1.0,2062.0446,36.0284,178.9732,121.4877,41.2842,9.1519,0.594,24.1122,137.1448
79,25.7685,7.6265,3.0,1500.5971,37.5652,116.6497,108.7668,74.6319,8.4903,0.5422,19.7868,80.0481
80,24.0945,5.9378,3.0,1724.2376,36.5679,49.944,287.4621,94.7915,41.8423,1.3988,19.877,128.1213
81,30.174,6.6709,2.0,2024.467,37.2494,144.1422,110.7386,52.8025,36.217,0.5381,17.6639,76.4757
82,21.8476,6.4312,1.0,2323.152,37.211,105.6313,141.0091,15.5342,14.8718,0.7064,20.4765,154.7863
83,22.9444,7.0315,3.0,2059.5474,37.5881,129.3642,244.1979,45.1347,42.8769,1.1978,21.272,65.9869
84,25.0384,6.3876,3.0,2529.5574,37.3479,125.2254,121.013,77.1738,34.6949,0.5634,16.863,139.8544
85,28.0763,6.6833,2.0,1852.5173,36.0302,119.2415,195.0715,64.9554,13.8242,0.9811,19.4998,80.3054
86,19.7592,6.7111,2.0,1733.9157,36.7468,153.2909,160.7097,59.4804,33.302,0.809,17.5596,160.3974
87,20.414,6.3125,3.0,3251.9926,37.1622,78.9483,186.1037,73.156,30.551,0.9125,29.1987,117.7396
88,17.868,7.2881,2.0,2097.1188,37.0123,111.4555,137.7015,63.7202,10.7353,0.6897,19.6411,69.5195
89,25.1144,7.0907,2.0,1540.2592,37.3149,149.8892,133.0672,76.9191,38.1643,0.6359,26.1809,84.3328
90,21.0859,6.8291,2.0,1552.8681,37.4552,108.3493,221.7512,71.5496,10.8424,1.1821,19.2175,123.4354
91,23.6541,6.5556,2.0,1428.66,37.3738,76.5182,119.7744,82.3906,50.2977,0.6091,21.0372,131.5793
92,27.3148,7.5372,3.0,2368.2847,37.0036,149.3938,203.2868,61.4583,20.0976,1.0112,14.7145,97.8785
93,22.7546,6.7113,2.0,1717.8114,36.2691,163.939,138.2255,71.2947,28.7131,0.6457,18.2117,101.3397
94,25.8095,6.6546,2.0,1963.6812,36.895,126.5602,113.5909,49.4717,20.2303,0.5419,20.8421,122.7506
95,23.9523,6.9838,3.0,1868.2457,37.2874,65.2529,138.8335,44.1737,42.6466,0.6887,26.344,103.954
96,27.3524,8.2573,2.0,2265.7462,36.6093,150.591,205.038,85.7218,35.3229,0.9594,20.8879,61.1949
97,26.6629,5.8277,1.0,1476.628,37.3841,74.8836,108.4865,58.8917,18.7488,0.5146,25.5349,75.6108
98,22.5782,7.5159,4.0,1362.2139,37.5088,137.8816,116.645,69.4879,25.7823,0.5691,22.5629,107.0536
99,24.4097,5.3855,1.0,2012.1487,37.1571,99.6012,90.4156,57.2273,31.6124,0.4405,26.5096,136.4645
100,28.6531,7.0738,3.0,2200.4796,35.7213,90.8851,117.6567,44.4427,29.6319,0.5787,19.7638,148.4795
101,26.3768,8.1601,2.0,2066.2662,36.5249,113.8589,168.9966,55.1977,15.5694,0.7443,29.5609,123.3859
102,20.1106,7.2909,1.0,1495.2731,37.9488,122.1345,173.182,80.8479,35.5849,0.8958,18.0584,108.6187
103,27.2947,7.0365,1.0,2238.7424,36.8541,107.3853,114.1133,64.9943,9.0121,0.5432,16.9342,122.4644
104,21.2039,6.4516,4.0,1528.0695,36.2071,146.8385,199.4045,24.1935,18.1938,1.0084,15.1598,79.9975
105,29.9438,6.9248,2.0,1639.2307,37.6559,113.7258,123.0291,51.1256,32.314,0.6209,29.3241,95.4031
106,28.5843,6.6983,2.0,1428.0232,37.106,159.3661,155.7682,87.0813,30.8436,0.7911,23.2778,75.2761
107,26.0146,6.2712,3.0,2550.5792,37.5972,136.9975,256.864,51.1517,36.982,1.2239,18.6635,62.5377
108,25.5503,6.6681,1.0,2216.7108,37.2246,105.6782,92.1778,22.5914,11.5277,0.4299,24.9961,110.0065
109,24.2684,7.0587,3.0,2202.4967,37.3064,100.2899,106.4918,89.0749,39.469,0.5073,22.7508,105.5654
110,27.3748,6.2862,2.0,2523.6057,37.2634,75.2801,92.1287,67.2831,38.7619,0.4423,27.8645,120.6296
111,23.7023,6.255,3.0,3306.3246,37.4139,137.3035,273.2828,53.7398,19.4456,1.3205,13.8087,116.3834
112,25.8245,5.8118,1.0,1045.3869,38.1248,116.6532,97.724,48.3145,34.9904,0.4827,18.9386,107.2793
113,28.0518,7.2126,4.0,1530.8117,37.537,52.0897,105.9062,74.4823,11.5298,0.5286,18.1499,116.6985
114,23.0337,7.3363,1.0,1591.9125,36.3888,110.8571,289.6911,45.2443,5.8932,1.3523,12.1053,98.7195
115,22.8433,7.0853,3.0,1474.5902,37.301,99.1669,71.664,75.6686,35.7083,0.3018,24.2413,112.3867
116,20.8197,7.6721,3.0,1361.2084,37.6137,178.4217,137.9348,64.7595,33.014,0.6946,18.9184,78.2157
117,21.2743,6.9703,2.0,1750.1735,37.6412,73.5111,144.6118,59.4043,18.8495,0.7693,22.9585,111.0912
118,18.6006,7.2136,1.0,1291.6981,36.908,81.8768,192.5278,57.6193,19.8386,0.9199,29.4391,120.0525
119,27.5544,7.1431,2.0,2067.5212,37.6242,163.519,180.5965,51.8506,17.8835,0.85,18.587,79.9096
120,31.3312,6.8268,4.0,1925.8492,37.5175,171.4164,179.5793,73.8215,34.5299,0.8932,18.3154,101.555
